date,title,budget ,domestic_gross,world_gross
2001-04-06,Along Came a Spider,28000000,74058698,105159085
2001-04-06,Blow,30000000,52990775,83282296
2001-04-11,Joe Dirt,16000000,27087695,30987695
2001-04-11,Kingdom Come,7000000,23247539,23393939
2001-04-11,Josie and the Pussycats,22000000,14252830,14252830
2001-04-13,Bridget Joness Diary,25000000,71500556,281527158
2001-04-20,Crocodile Dundee in Los Angeles,25000000,25590119,39393111
2001-04-20,Freddy Got Fingered,15000000,14249005,14249005
2001-04-27,Driven,72000000,32616869,54616869
2001-05-04,The Mummy Returns,97600000,202007640,435040395
2001-05-11,A Knights Tale,41000000,56083966,100622586
2001-05-18,Shrek,50000000,267655011,491812794
2001-05-18,Moulin Rouge,53000000,57386369,179200588
2001-05-18,Angel Eyes,38000000,24044532,29544532
2001-05-25,Pearl Harbor,151000000,198539855,449239855
2001-06-01,The Animal,22000000,55762229,55762229
2001-06-01,Whats the Worst That Could Happen?,30000000,32267774,38462071
2001-06-08,Atlantis: The Lost Empire,90000000,84052762,186049020
2001-06-08,Swordfish,80000000,69772969,147080413
2001-06-08,Evolution,80000000,38311134,98341932
2001-06-15,Lara Croft: Tomb Raider,94000000,131144183,273330185
2001-06-22,The Fast and the Furious,38000000,144512310,206512310
2001-06-22,Dr. Dolittle 2,72000000,112950721,176101721
2001-06-27,Baby Boy,16000000,28734552,28734552
2001-06-29,Artificial Intelligence: AI,90000000,78616689,235900000
2001-06-29,crazy/beautiful,13000000,16929123,19929123
2001-07-04,Cats & Dogs,60000000,93375151,200700000
2001-07-04,Scary Movie 2,45000000,71277420,141189101
2001-07-06,Kiss of the Dragon,25000000,36833473,36833473
2001-07-11,Final Fantasy: The Spirits Within,136200000,32131830,85131830
2001-07-13,Legally Blonde,18000000,96493426,141809235
2001-07-13,The Score,68000000,71069884,113542091
2001-07-18,Jurassic Park III,93000000,181166115,365900000
2001-07-20,Americas Sweethearts,46000000,93607673,160648493
2001-07-27,Planet of the Apes,100000000,180011740,362211740
2001-08-03,Rush Hour 2,90000000,226164286,347425832
2001-08-03,The Princess Diaries,30000000,108244774,165334774
2001-08-03,Original Sin,26000000,16521410,16521410
2001-08-10,American Pie 2,30000000,145096820,286500000
2001-08-10,The Others,17000000,96522687,207765056
2001-08-10,Osmosis Jones,70000000,13596911,13596911
2001-08-13,K-PAX,48000000,50315140,50315140
2001-08-17,Rat Race,48000000,56607223,86607223
2001-08-17,Captain Corellis Mandolin,56200000,25528495,62097495
2001-08-17,American Outlaws,35000000,13264986,13601109
2001-08-24,Jay and Silent Bob Strike Back,22000000,30059386,33762400
2001-08-24,Summer Catch,17000000,19693891,19693891
2001-08-31,Jeepers Creepers,10000000,37904175,58939035
2001-08-31,O (Othello),5000000,16017403,16017403
2001-09-07,The Musketeer,40000000,27053815,27053815
2001-09-07,Two Can Play That Game,13000000,22235901,22391450
2001-09-07,Rock Star,38000000,16991902,19317765
2001-09-14,Hardball,21000000,40222729,43728560
2001-09-14,The Glass House,22000000,17951431,22861785
2001-09-28,Dont Say a Word,50000000,54997476,104488383
2001-09-28,Zoolander,28000000,45172250,60780981
2001-09-28,Hearts in Atlantis,31000000,24185781,30885781
2001-10-05,Training Day,45000000,76261036,104505362
2001-10-05,Serendipity,28000000,50255310,77477297
2001-10-05,Joy Ride,23000000,21973182,21973182
2001-10-05,Max Keebles Big Move,12000000,17292381,17292381
2001-10-12,Bandits,75000000,41523271,71523271
2001-10-12,Corky Romano,11000000,23978402,25116103
2001-10-19,From Hell,35000000,31598308,68712365
2001-10-19,Riding in Cars with Boys,47000000,29781453,29781453
2001-10-19,The Last Castle,60000000,18208078,20541668
2001-10-26,Thirteen Ghosts,19000000,41867960,68467960
2001-10-26,Life as a House,18000000,15652637,23889158
2001-11-02,"Monsters, Inc.",115000000,289423425,559757719
2001-11-02,Domestic Disturbance,53000000,45207112,54207112
2001-11-02,The One,49000000,43905746,72689126
